Pos,Artist and Title,Wks,T10,Pk,(x?),PkStreams,Total
2717.0,Kesha - Woman||../track/5wIeuNURiubue1VTcglU57.html,1.0,,184.0,,"3,130,022","3,130,022"
2718.0,DJ Jonathan - El Farsante||../track/66gNNRsKkmECPQUrvpMQtS.html,1.0,,184.0,,"3,127,801","3,127,801"
2719.0,Ben Howard - I Forget Where We Were||../track/6rQvEE7Jvkdwnn8RroMs15.html,3.0,,126.0,,"1,131,103","3,115,448"
2720.0,Jason French - You Just Want My Money||../track/48IiqBgzFU21BsOLru4yYC.html,3.0,,186.0,,"1,066,779","3,113,683"
2721.0,Kendrick Lamar - Hood Politics||../track/4wqeeFv3mIFWpyvKYX29nJ.html,1.0,,108.0,,"3,112,458","3,112,458"
2722.0,Joakim Lundell - All I Need||../track/6vBgJ1SLmpB4VMcEVy1ovL.html,1.0,,188.0,,"3,112,192","3,112,192"
2723.0,Deorro - Five Hours||../track/6zlOUIqcU6juXFww9UNpJK.html,3.0,,143.0,,"1,065,555","3,108,515"
2724.0,Future - Super Trapper||../track/5e0RPsQUTQu0A29wqD6bZR.html,1.0,,189.0,,"3,097,890","3,097,890"
2725.0,Flo Rida - Once In A Lifetime||../track/1pdXNiUyh8qCNpIfEdqvHU.html,3.0,,167.0,,"1,320,182","3,095,032"
2726.0,Childish Gambino - California||../track/5sHde7fFQ5TthEulnBllhi.html,1.0,,163.0,,"3,086,458","3,086,458"
2727.0,Taylor Swift - Bad Blood||../track/0TvQLMecTE8utzoNmvXRbK.html,1.0,,199.0,,"3,084,263","3,084,263"
2728.0,Mumford & Sons - Tompkins Square Park||../track/54oFXvBXWRGYRN88zjFKkH.html,2.0,,123.0,,"1,666,116","3,081,928"
2729.0,Alok - Never Let Me Go||../track/06ZpMjkNdIDKVf3mK29UiC.html,1.0,,200.0,,"3,073,599","3,073,599"
2730.0,Young Thug - Gang Up||../track/5PfTI3zrQbZEWcQdycMqJM.html,1.0,,196.0,,"3,065,707","3,065,707"
2731.0,Tritonal - Untouchable||../track/05dL7chWJaVjMJnGO1YCKk.html,3.0,,176.0,,"1,469,227","3,054,661"
2732.0,Kim Cesarion - Undressed||../track/0gpoeZamw0GIJllSNTzvIB.html,3.0,,147.0,,"1,049,124","3,044,682"
2733.0,Kendrick Lamar - For Free? - Interlude||../track/75izAeHlGuOgA865CFDyIv.html,1.0,,65.0,,"3,026,155","3,026,155"
2734.0,Avicii - What Would I Change It To||../track/6mzTuMlbCgEtoCitsszlqP.html,1.0,,197.0,,"3,025,532","3,025,532"
2735.0,One Direction - Fireproof||../track/34aYkYrY3sXhEU9O4VQgtB.html,2.0,,97.0,,"1,770,912","3,000,890"
2736.0,One Direction - No Control||../track/4JaLkM90MJutDAl5jD9BZX.html,3.0,,102.0,,"1,661,779","2,991,036"
2737.0,ZAYN - wRoNg||../track/7iCeaYJSEdGWeFNTAEqUzJ.html,1.0,,99.0,,"2,969,125","2,969,125"
2738.0,John Newman - Come And Get It||../track/6KYFbXhUyB7d5R1qWPbr7N.html,3.0,,189.0,,"1,401,250","2,963,065"
2739.0,Ed Sheeran - Give Me Love||../track/0SuG9kyzGRpDqrCWtgD6Lq.html,1.0,,167.0,,"2,959,460","2,959,460"
2740.0,The Weeknd - Where You Belong||../track/7tpdug67Oc6vLljNx7lZGI.html,2.0,,134.0,,"1,572,121","2,954,295"
2741.0,Migos - Culture||../track/4oLuMvGQ4WJfU2s4OM6nfE.html,1.0,,181.0,,"2,953,837","2,953,837"
2742.0,Shawn Mendes - No Promises||../track/3RniqZTQjXgHtx2O2ZxA28.html,1.0,,128.0,,"2,953,402","2,953,402"
